Control	Regional Code	Program Size Quartile	R Rankings	S Rankings	Research Activity	Student Support & Outcomes	Diversity	1:Publications per Allocated Faculty	2:Citations per Publication	3:Percent Faculty with Grants	4:Awards per Allocated Faculty Member	9:Percent 1st-yr Students with Full Support	15:Average Completion Percentage	16:Median Time to Degree	17:Percent with Academic Plans	Post-Graduation Employment  (1=Yes; -1=No)	14:Average Number of  Ph.D.s Graduated	5:Percent of Interdisciplinary Faculty	8:Average GRE Scores	10:Percent of 1st-yr Students with External funding	18:Student Workspace	19:Student Health Insurance	20:Number of Student Activities Offered	Total Faculty 	Number of Allocated Faculty	Assistant Professors as a Percent of Total Faculty	Tenured Faculty as a Percent of Total Faculty	Number of Core and New Faculty	Number of Students Enrolled	Average Annual First Year Enrollment	Percent of Students with RA	Percent of Students with TA
0.0	1.0	1.0	0.5403225806451613	0.4112903225806452	0.456	0.6637168141592921	0.3770491803278688	0.453416149068323	0.4398148148148149	0.7379679144385026	0.004618937644341801	0.875	0.3932092004381161	0.47457627118644063	0.556	1.0	0.25641025641025644	0.49821428571428567	0.7857142857142857	0.041666666666666664	0.0	1.0	1.0	0.6333333333333333	0.6323101777059774	0.0	0.0	0.609375	0.5284090909090909	0.7199391171993911	0.151	0.616	
0.0	0.75	0.3333333333333333	0.9919354838709677	0.9838709677419355	0.976	0.6991150442477876	0.319672131147541	0.09937888198757763	0.060185185185185196	0.35614973262032085	0.0	1.0	0.3253012048192771	0.47966101694915253	0.4266666666666667	1.0	0.1623931623931624	0.03214285714285715	0.4928571428571429	0.0	0.0	0.0	0.5	0.4888888888888889	0.7066235864297254	0.37142857142857144	0.85	0.6875	0.18181818181818182	0.21461187214611874	1.0	0.0	
1.0	0.75	0.0	0.9112903225806451	0.6370967741935484	0.608	0.04424778761061947	0.9672131147540983	0.5465838509316769	0.30092592592592593	0.3058823529411765	0.013856812933025403	1.0	0.4490690032858708	0.0847457627118644	0.0	1.0	0.0	0.0	0.6428571428571429	0.0	1.0	1.0	0.625	0.07777777777777778	0.11696284329563814	0.0	0.78	0.125	0.06818181818181818	0.0502283105022831	0.0	0.765	
1.0	0.0	0.6666666666666666	0.4032258064516129	0.25	0.328	0.46017699115044247	0.27049180327868855	0.3416149068322981	0.6157407407407408	0.7700534759358288	0.15704387990762125	1.0	0.6166484118291347	0.5932203389830508	0.48533333333333334	1.0	0.27350427350427353	0.35714285714285715	0.7714285714285715	0.3472222222222222	1.0	1.0	0.25	0.32222222222222224	0.334248788368336	0.5142857142857142	0.63	0.34375	0.26136363636363635	0.2511415525114155	0.163	0.449	
0.0	0.25	0.3333333333333333	0.8951612903225806	0.7016129032258065	0.872	0.1504424778761062	0.14754098360655737	0.47204968944099385	0.17592592592592593	0.13475935828877006	0.0	1.0	0.6319824753559694	0.423728813559322	0.8333333333333334	1.0	0.10256410256410256	0.0	0.8357142857142857	0.0	1.0	0.0	0.625	0.15555555555555556	0.22649434571890148	0.11428571428571428	0.72	0.234375	0.17045454545454544	0.2511415525114155	0.0	0.9059999999999999	
1.0	0.0	0.3333333333333333	0.31451612903225806	0.43548387096774194	0.416	0.5398230088495575	0.5491803278688525	0.3726708074534162	0.4907407407407408	0.7775401069518717	0.14780600461893764	1.0	0.6549835706462213	0.38813559322033897	0.0	1.0	0.1623931623931624	0.14821428571428572	0.8357142857142857	0.0	1.0	1.0	0.875	0.011111111111111112	0.0038772213247172897	0.0	0.83	0.015625	0.14204545454545456	0.1232876712328767	0.0	0.0	
1.0	0.0	0.3333333333333333	0.27419354838709675	0.1935483870967742	0.336	0.22123893805309736	0.1557377049180328	0.36024844720496896	0.35648148148148157	0.9240641711229947	0.3117782909930716	1.0	0.6911281489594743	0.423728813559322	0.508	1.0	0.18803418803418806	0.5767857142857142	0.8357142857142857	0.0	1.0	1.0	1.0	0.2222222222222222	0.2050080775444265	0.08571428571428572	0.58	0.171875	0.14204545454545456	0.1659056316590563	0.033	0.3	
1.0	1.0	0.3333333333333333	0.23387096774193547	0.13709677419354838	0.16	0.6814159292035398	0.4016393442622951	0.7018633540372671	0.462962962962963	0.9411764705882353	0.19861431870669746	1.0	0.41182913472070104	0.423728813559322	0.44399999999999995	1.0	0.2307692307692308	0.49642857142857144	1.0	0.0	1.0	1.0	0.25	0.07777777777777778	0.04474959612277867	0.0	0.94	0.046875	0.14772727272727273	0.1476407914764079	0.0	0.871	
1.0	0.0	0.6666666666666666	0.4112903225806452	0.3629032258064516	0.456	0.23893805309734514	0.7377049180327869	0.5900621118012422	0.37037037037037046	0.6203208556149733	0.0023094688221709007	1.0	0.6265060240963856	0.5084745762711864	0.632	1.0	0.2905982905982906	0.3803571428571429	0.8285714285714286	0.0	1.0	0.0	0.75	0.4	0.35492730210016155	0.11428571428571428	0.77	0.421875	0.2215909090909091	0.2207001522070015	0.0	0.7070000000000001	
0.0	0.0	1.0	0.7419354838709677	0.9435483870967742	0.752	0.9911504424778761	0.9016393442622951	0.2857142857142857	0.22222222222222227	0.45454545454545453	0.09699769053117782	0.273	0.3318729463307777	0.9491525423728813	0.46	1.0	0.28205128205128205	0.09642857142857143	0.65	0.03472222222222222	0.0	0.0	1.0	0.5	0.6366720516962844	0.11428571428571428	0.95	0.671875	0.6193181818181818	0.6103500761035008	0.0	0.0	
